current_time,domain,bd_index,reverse_index,chinese,url,illegal,pan_analysis,sgsr
2016-03-24,7394700.cn,0,0,no_language,,正常,正常,1
2016-03-24,aolai888.cn,0,0,no_language,,正常,正常,1
2016-03-24,asyafeng.com,1,1,chinese,,正常,正常,1
2016-03-24,beaver-bj.com,0,0,no_language,,正常,正常,1
2016-03-24,adlerblue.cn,1,1,english,,正常,正常,1
2016-03-24,axwjsj.com,0,0,no_language,,正常,正常,1
2016-03-24,297139888.cn,0,0,no_language,,正常,正常,1
2016-03-24,860411xh.com,1,1,chinese,,正常,正常,1
2016-03-24,aphuasen.cn,0,0,no_language,,正常,正常,1
2016-03-24,amplisa.cn,0,0,no_language,,正常,正常,1
2016-03-24,3discs.com,0,0,no_language,,正常,正常,1
2016-03-24,baici2008.cn,0,0,no_language,,正常,正常,1
2016-03-24,0531oa.cn,0,0,no_language,,正常,正常,1
2016-03-24,bb-cosjoy.com,0,0,no_language,,正常,正常,1
2016-03-24,ambipiao.cn,0,0,no_language,,正常,正常,2
2016-03-24,b2m1688.com,0,0,no_language,,正常,正常,1
2016-03-24,baotouty.com,0,0,no_language,,正常,正常,1
2016-03-24,baybaystar.cn,0,0,no_language,,正常,正常,1
2016-03-24,behoon.com,0,0,no_language,,正常,正常,1
2016-03-24,arcdatas.com,26,10,chinese,,正常,泛解析,1
2016-03-24,baitysj.com,0,0,no_language,,正常,正常,1
2016-03-24,baimei17.net,0,0,no_language,,正常,正常,1
2016-03-24,bi-gao.com,1,1,chinese,,正常,正常,1
2016-03-24,bioelitecn.com,1,1,chinese,,正常,正常,1
2016-03-24,beigaofa.com,0,0,no_language,,正常,正常,1
2016-03-24,baiwuchun.cn,0,0,no_language,,正常,正常,1
2016-03-24,ay-yl.com,0,0,no_language,,正常,正常,1
2016-03-24,51cheese.com,0,0,no_language,,正常,正常,1
2016-03-24,bindesen.com,1,1,english,,正常,正常,1
2016-03-24,betair.cn,0,0,no_language,,正常,正常,1
2016-03-24,aotelaifu.net,28,10,chinese,,正常,泛解析,1
2016-03-24,azhupet.com,0,0,no_language,,正常,正常,1
2016-03-24,bhwtex.com,0,0,no_language,,正常,正常,2
2016-03-24,asd4100.cn,0,0,no_language,,正常,正常,1
2016-03-24,bit-code.cn,0,0,no_language,,正常,正常,1
2016-03-24,binghong3d.com,0,0,no_language,,正常,正常,1
2016-03-24,bestfeel8.cn,0,0,no_language,,正常,正常,1
2016-03-24,biaozhi365.com,0,0,no_language,,正常,正常,1
2016-03-24,biwin-gift.com,0,0,no_language,,正常,正常,2
2016-03-24,aojicwj.com,0,0,no_language,,正常,正常,1
2016-03-24,bionger.com,0,0,no_language,,正常,正常,1
2016-03-24,binbinyouni.cn,0,0,no_language,,正常,正常,1
2016-03-24,baifengcs.com,0,0,no_language,,正常,正常,1
2016-03-24,best-dg.cn,0,0,no_language,,正常,正常,1
2016-03-24,bj-dvd.com,0,0,no_language,,正常,正常,1
2016-03-24,010-card.com,0,0,no_language,,正常,正常,1
2016-03-24,aop688cn.com,0,0,no_language,,正常,正常,1
2016-03-24,aplux-bj.com,0,0,no_language,,正常,正常,1
2016-03-24,beiledianzi.cn,0,0,no_language,,正常,正常,1
2016-03-24,biaomeizy.com,0,0,no_language,,正常,正常,1
2016-03-24,0514a.cn,1,1,english,,正常,正常,1
2016-03-24,bcqzty.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,bj-kld.com,0,0,no_language,,正常,正常,1
2016-03-24,bell-elec.com,0,0,no_language,,正常,正常,1
2016-03-24,9jsk.com,1,1,chinese,,正常,正常,1
2016-03-24,autoic.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,bh208.com,0,0,no_language,,正常,正常,1
2016-03-24,6060ing.com,2,2,english,,正常,正常,1
2016-03-24,bantye.com,0,0,no_language,,正常,正常,1
2016-03-24,82035806.com,2,2,chinese,,正常,正常,1
